"baseMean","log2FoldChange","lfcSE","pvalue","padj","ensembl","symbol"
1.26797617984638,1.56426161166914,0.496032606807135,0.000400697702681432,0.0008364901993417,"ENSG00000238886","SNORD121A"
1.64341620064015,1.37570649928573,0.444531083098091,0.000402440911636666,0.000839916560795028,"ENSG00000268088",NA
0.985403852236718,2.80606709284547,0.75932564321021,0.000405039937652436,0.000845155295792758,"ENSG00000276508",NA
9.94537849380228,3.43445428076224,0.309440432249698,0.00040514750629527,0.000845308519741514,"ENSG00000248483","POU5F2"
5.77134996571609,1.16167477686074,0.316479350018166,0.000405375301277812,0.000845740978127875,"ENSG00000280183",NA
1.65317195674795,1.0966999562336,0.330217167956287,0.0004061695187329,0.000847355069175941,"ENSG00000217783",NA
2.58422284943856,-1.09795624945211,0.325012277653595,0.000406489708182646,0.000847980124723615,"ENSG00000288541",NA
1.36302228978105,3.7919113526626,0.754226160201851,0.000407233622389219,0.000849403017121273,"ENSG00000261963",NA
2.31002985423844,1.2598772285905,0.386874939474862,0.000407943515781259,0.000850840641169161,"ENSG00000259798",NA
2.28944643163355,3.86052258911367,1.05233351533099,0.00040819530280444,0.000851292597131182,"ENSG00000280365",NA
2.0931506125782,2.76866579795356,0.896615786958127,0.000408201524153971,0.000851292597131182,"ENSG00000286993",NA
0.746304186009143,3.35557312342559,0.875083223657822,0.000410637372454387,0.000855939343291575,"ENSG00000237053",NA
1.41969785222131,2.76056559805784,0.697485212000102,0.000410667173109641,0.00085595816665089,"ENSG00000256943",NA
3.69140975270073,2.65557117429859,0.640586926213026,0.000410697971498912,0.000855979067589221,"ENSG00000285850",NA
1.19605662729487,2.68786158301687,0.684571332082697,0.000411241698034396,0.000857068960134293,"ENSG00000260254",NA
2.37013218752995,2.93191729360154,0.553731629518209,0.000412180179697543,0.000858894543435074,"ENSG00000264862","RN7SL45P"
4.33253664148106,1.07794520475607,0.327724465822675,0.000412289908480984,0.000859079756214473,"ENSG00000286378",NA
4.21108474904877,1.14549453433998,0.31128703027268,0.000412572155987486,0.000859624405703032,"ENSG00000252874",NA
1.7446769583545,2.55340192494641,0.842142159924279,0.000413893962250298,0.000862334887679325,"ENSG00000206847",NA
0.762639987353083,-1.23764602342629,0.36511599908278,0.000414412017372334,0.000863239670841653,"ENSG00000284600",NA
0.988425685713198,1.53632710707365,0.466200519785837,0.000414573349813936,0.000863488442291625,"ENSG00000236472",NA
6.69405680270056,2.17214881830966,0.633234507029057,0.000415189398394795,0.000864684167032945,"ENSG00000214897","PNMA6E"
3.27887695342008,2.56702467894833,0.494379061995331,0.000415590360525076,0.000865475483733332,"ENSG00000120094","HOXB1"
34.1043578022063,1.14029195395692,0.291321448780266,0.000416705301350486,0.000867709674799397,"ENSG00000236318",NA
2.24835076454871,8.58046096215248,2.89544513622767,0.000417025868947988,0.000868289450068991,"ENSG00000279995",NA
0.967566266798486,4.13534929018204,0.970834105211692,0.00041710378961421,0.000868407814175569,"ENSG00000260375",NA
2.33455542588186,2.07585097073329,0.418661000965273,0.000417602240269951,0.000869401663236421,"ENSG00000095110","NXPE1"
2.80327060140585,4.04508558392552,1.10548644918627,0.00041921022912769,0.000872617070036429,"ENSG00000226056",NA
2.30959762440034,2.51523848477053,0.534981464292943,0.000419272048677008,0.000872701671702014,"ENSG00000204347","BTBD17"
3.95871621565359,1.00796921687484,0.30510740148185,0.000419626498462505,0.000873395334754459,"ENSG00000269836",NA
15.0648608389327,1.04611468895042,0.261625355332964,0.000421029546665148,0.000876182833288765,"ENSG00000230266","XXYLT1-AS2"
0.978185092875213,3.47302433050181,0.869226011467585,0.000421159700963994,0.000876365182349263,"ENSG00000077498","TYR"
1.24159809068207,1.5660370602808,0.489284185268741,0.00042268220812432,0.000879444463018699,"ENSG00000200560","RNU6-288P"
1.1921905410642,3.75008428334641,0.897999007060706,0.000422803657615274,0.000879652743032262,"ENSG00000204091","TDRG1"
2.24869913685533,1.47434963512672,0.489831118600752,0.00042465821191432,0.000883332806945339,"ENSG00000251215",NA
0.882570524658871,2.90785855605399,0.762476998675605,0.000424798084817633,0.000883534565126651,"ENSG00000284906",NA
0.548067851002946,-1.86479351755235,0.561404556461276,0.000425553094048768,0.000885015571197204,"ENSG00000287641",NA
2.02123467524744,1.82209554265722,0.481886701666459,0.000425934780425634,0.00088574453805129,"ENSG00000240964","RN7SL751P"
1.19445274129011,2.40749399319358,0.678753416681079,0.000426112525277638,0.000885955465375952,"ENSG00000254044",NA
1.54120524751025,1.12757742764356,0.351097815302999,0.00042730161878531,0.000888248525183426,"ENSG00000200893","RNU6-944P"
0.868386724399349,3.91184617538534,1.05354108333215,0.000429667523181194,0.00089280634789594,"ENSG00000212187","LOC124900448"
1.72855873848814,3.13525698400212,0.932092663137647,0.000431348697997304,0.000896164105321984,"ENSG00000260064",NA
2.39231376893225,2.51326959648061,0.956532063157638,0.00043169523836995,0.000896838860133287,"ENSG00000201470","RNY4P7"
7.07568334055911,1.05863098602008,0.322977696078665,0.000432644503475844,0.000898720330296033,"ENSG00000269097","TPRG1LP1"
1.85094950554848,1.66866419893189,0.569006335039106,0.000432908084848342,0.000899222534510334,"ENSG00000232466","H3P31"
0.965278303077779,1.53802199843571,0.476777761668074,0.000433644579161866,0.000900616174562297,"ENSG00000242444",NA
0.80586871847529,2.4917834100046,0.700190224062823,0.000436715511023306,0.000906537194619526,"ENSG00000253920",NA
3.15329896091189,1.00550465360713,0.303205974248255,0.00043685703444015,0.000906785294968924,"ENSG00000277150","F8A3"
2.43173970204613,2.95899380711196,1.08293948757886,0.000437152912366181,0.000907308051547275,"ENSG00000226128","RPL26P9"
1.54084595608036,1.30158779924728,0.416266552993583,0.000437289242998949,0.000907545298546088,"ENSG00000225406",NA
5.39464697771273,5.28319955555478,1.46082036916504,0.000438182772840589,0.000909308134927919,"ENSG00000206702",NA
1.49134985750919,3.58020229015697,1.00183241470162,0.000440988280729912,0.00091499184559261,"ENSG00000281832","LINC00602"
1.80626099729613,1.74473024938724,0.56120195852315,0.000441213373436864,0.000915412794276122,"ENSG00000253754",NA
1.45919914982477,3.78250811935469,0.944367070350472,0.000441832479588721,0.000916604999563593,"ENSG00000253396",NA
0.492180212647452,-1.50099907057831,0.438466963349974,0.000443219721791995,0.000919205271741226,"ENSG00000223342",NA
1.07613795549313,3.87491064638182,1.0161649078295,0.000443508579793848,0.000919711773858214,"ENSG00000253715",NA
2.9335969413808,3.34409625204402,1.1150211760225,0.000445303093609507,0.000923293710542432,"ENSG00000274303",NA
4.81528154194444,2.6447965673195,0.508022399310874,0.000445734780557446,0.000924095786374531,"ENSG00000255159",NA
2.68552622760171,1.5422102099678,0.515610368771186,0.000446622971870763,0.000925797459572759,"ENSG00000229521","MYCBP2-AS2"
1.04737132605655,3.4012849471608,0.836815475110012,0.00044708548379048,0.000926709580147343,"ENSG00000253687",NA
1.57848512054019,1.05154472170222,0.317201475200527,0.000447587909459888,0.000927704337210252,"ENSG00000236686",NA
0.945634968845447,1.3281636895622,0.41642786892157,0.00044847397726873,0.00092944737627466,"ENSG00000166569","CPLX4"
3.17112843839677,2.27421625139078,0.647998550669172,0.000451647707328777,0.000935554343640424,"ENSG00000244730",NA
1.878531529532,1.18580827662199,0.368713966070578,0.000451968028679869,0.00093617080970678,"ENSG00000252349","LOC124900397"
1.14688360084102,1.59616303698865,0.4318143082128,0.000452241399181408,0.000936689968420616,"ENSG00000267151","MIR2117HG"
1.86533577608196,-1.15202229256353,0.345102456964431,0.000452335166567322,0.000936837096663278,"ENSG00000283380","LOC124905258"
2.80020597609148,2.94337734351169,0.420319848084288,0.000453688235039064,0.000939422114242497,"ENSG00000116745","RPE65"
2.18587052540195,2.5571826521978,0.788728801686351,0.000453675687799971,0.000939422114242497,"ENSG00000243005","RN7SL16P"
1.56201536833513,2.86661024966273,0.783609611756499,0.000453697273537852,0.000939422114242497,"ENSG00000265118",NA
1.72181266378674,1.2604033467684,0.397401081964187,0.000455667591021159,0.000943312256672174,"ENSG00000258759",NA
2.38309809619599,4.45289030730978,1.16371667874957,0.000457124098293499,0.000946232418241669,"ENSG00000248152","ANK2-AS1"
0.567653081805951,-1.33811785529333,0.403791873497276,0.000457251871596817,0.000946449366166572,"ENSG00000217684","RPS3AP24"
1.27124028239121,2.01133481775688,0.60770755267936,0.000458684572853397,0.00094917649670406,"ENSG00000256355","NTAN1P3"
0.846385176471944,-1.25025406439232,0.499376699043383,0.000459627382068211,0.000950888757149248,"ENSG00000235615",NA
1.78269651746964,1.52017688325893,0.471910391687565,0.000460944496267061,0.000953565766561008,"ENSG00000287730","LOC105377503"
1.23299239324239,1.35995826034011,0.434707266048266,0.000461573598274046,0.00095472342694598,"ENSG00000253502","ATP6V1G1P2"
3.95736102224761,1.53622198818036,0.45699547914868,0.000461972863373534,0.000955501313550148,"ENSG00000237280",NA
2.46365302119655,1.34896191508896,0.431511146034618,0.000463977701727108,0.000959359041988652,"ENSG00000262202",NA
2.08279970241659,1.20023861788849,0.372910178183473,0.000464128050536767,0.000959621768546595,"ENSG00000223908",NA
1.73550828310334,1.23466606490612,0.375174341117485,0.000464790717315186,0.000960943673871276,"ENSG00000266446",NA
2.42943365390222,2.22803821809012,0.724108612694113,0.000466854685550227,0.000964968825670098,"ENSG00000286108",NA
2.5876166412666,1.40592036075115,0.45997203148101,0.000467816941281739,0.000966909271636579,"ENSG00000271095","BNIP3P28"
